Date,Open ,Close ,High,Low,Volume,ADS_Index,Mkt-RF,SMB,HML,RF,Returns,SP500,Open_Close,High_Low,HLOC,EWM_OpenClose
2016-01-06,623.77,635.2,639.79,618.64,40167,-0.30808929836995,-1.35,-0.12,0.0,0.0,-0.005036306590344751,1990.26,629.485,629.2149999999999,629.3499999999999,629.485
2016-01-07,620.55,606.0,630.0,605.21,54784,-0.294334959848744,-2.44,-0.29,0.08,0.0,-0.0018002500016942246,1943.09,613.275,617.605,615.44,624.0816666666667
2016-01-08,617.05,608.36,624.14,606.0,42130,-0.281487553518761,-1.11,-0.47,-0.03,0.0,-0.03984118839510735,1922.03,612.7049999999999,615.0699999999999,613.8874999999999,620.2894444444445
2016-01-11,612.0,617.51,619.85,598.57,75915,-0.248492833359153,-0.06,-0.65,0.34,0.0,-0.0014650559535771474,1923.67,614.755,609.21,611.9825000000001,618.4446296296297
2016-01-12,620.84,619.28,625.99,612.24,36843,-0.239262607696132,0.71,-0.4,-0.77,0.0,0.017456500549173342,1938.68,620.06,619.115,619.5875000000001,618.9830864197531
2016-01-13,623.0,580.0,623.5,579.16,60233,-0.230815095397068,-2.67,-0.7,0.78,0.0,0.00024283159219198763,1890.28,601.5,601.3299999999999,601.415,613.1553909465022
2016-01-14,583.33,597.0,602.25,569.88,57738,-0.223149197981257,1.65,-0.01,-0.41,0.0,-0.06016654185065368,1921.84,590.165,586.065,588.115,605.4919272976681
2016-01-15,592.99,570.7,592.99,565.3,58903,-0.216263918606063,-2.14,0.42,-0.21,0.0,0.019050468484759116,1880.33,581.845,579.145,580.495,597.6096181984454
2016-01-19,581.0,575.0,584.0,566.45,36261,-0.198060905394627,-0.2,-1.34,-0.07,0.0,-0.03924231082327159,1881.33,578.0,575.225,576.6125,591.0730787989637
2016-01-20,564.0,575.0,578.45,547.18,61043,-0.197446860430805,-0.94,1.85,-1.24,0.0,0.007513160813514714,1859.33,569.5,562.815,566.1575,583.8820525326425
2016-01-21,565.0,573.25,588.81,561.0,36968,-0.198680208493898,0.45,-0.49,0.01,0.0,-0.004728401394207961,1868.99,569.125,574.905,572.015,578.9630350217617
2016-01-22,586.3,597.41,600.1,583.0,40188,-0.201761109963555,2.08,0.22,-0.19,0.0,0.0056680099887828055,1906.9,591.855,591.55,591.7025,583.2603566811745
2016-01-25,594.05,598.22,608.5,594.05,32520,-0.2212633064577,-1.71,-0.37,-0.98,0.0,0.03647319858908396,1877.08,596.135,601.275,598.7049999999999,587.5519044541163
2016-01-26,596.12,598.2,604.5,590.38,28218,-0.229753687526685,1.52,0.38,1.22,0.0,0.00025152609419820714,1903.63,597.1600000000001,597.44,597.3,590.7546029694109
