,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3,Y_close,PL1,PL2,PL3
0,852.52,851.9364959430197,-1.0,-1.0,999898.0,-1.0,-1.0,999898.0,1.0,1.0,488488.0,852.69,-102.0,-102.0,-511512.0
1,852.96,852.6728562353691,-1.0,-1.0,997654.0,-1.0,0.0,999898.0,-1.0,-1.0,1002508.0,856.7,-2244.0,0.0,514020.0
2,859.0,857.201190746919,-1.0,-1.0,1007974.0,-1.0,0.0,999898.0,-1.0,-1.0,993568.0,841.8,10320.0,0.0,-8940.0
3,839.5,847.2893389087799,1.0,1.0,1013254.0,1.0,1.0,1005178.0,-1.0,-1.0,997468.0,848.3,5280.0,5280.0,3900.0
4,848.11,844.5187766999924,-1.0,-1.0,1013470.0,-1.0,-1.0,1005394.0,-1.0,-1.0,997138.0,847.75,216.0,216.0,-330.0
5,849.5,850.0604285170896,1.0,1.0,1011004.0,1.0,1.0,1002928.0,-1.0,-1.0,995722.0,845.39,-2466.0,-2466.0,-1416.0
6,838.5,846.4304599096462,1.0,1.0,1016398.0,1.0,0.0,1002928.0,-1.0,-1.0,996982.0,847.49,5394.0,0.0,1260.0
7,848.0,849.4710265596506,1.0,1.0,1022398.0,1.0,0.0,1002928.0,-1.0,-1.0,1003288.0,858.0,6000.0,0.0,6306.0
8,860.01,853.3517595374678,-1.0,-1.0,1013254.0,-1.0,-1.0,993784.0,-1.0,-1.0,1013638.0,875.25,-9144.0,-9144.0,10350.0
9,874.89,868.9717338924361,-1.0,-1.0,1012318.0,-1.0,0.0,993784.0,-1.0,-1.0,1014358.0,876.45,-936.0,0.0,720.0
10,875.12,874.7843535317149,-1.0,-1.0,1005394.0,-1.0,0.0,993784.0,-1.0,-1.0,1020484.0,886.66,-6924.0,0.0,6126.0
11,888.1,883.8561593712332,-1.0,-1.0,1004104.0,-1.0,0.0,993784.0,-1.0,-1.0,1022638.0,890.25,-1290.0,0.0,2154.0
12,889.6,887.6422678761046,-1.0,-1.0,993610.0,-1.0,0.0,993784.0,-1.0,-1.0,1032742.0,907.09,-10494.0,0.0,10104.0
13,908.52,898.0314892542251,-1.0,-1.0,993622.0,-1.0,0.0,993784.0,-1.0,-1.0,1033588.0,908.5,12.0,0.0,846.0
14,908.5,907.663577067955,-1.0,-1.0,998872.0,-1.0,0.0,993784.0,-1.0,-1.0,1028338.0,899.75,5250.0,0.0,-5250.0
15,897.77,900.5630495794728,1.0,1.0,997078.0,1.0,1.0,991990.0,-1.0,-1.0,1025356.0,894.78,-1794.0,-1794.0,-2982.0
16,894.5,895.0606605679062,1.0,1.0,1005172.0,1.0,0.0,991990.0,-1.0,-1.0,1033282.0,907.99,8094.0,0.0,7926.0
17,909.4,903.2538301464643,-1.0,-1.0,1009012.0,-1.0,-1.0,995830.0,-1.0,-1.0,1030288.0,903.0,3840.0,3840.0,-2994.0
18,903.0,904.523857821728,1.0,1.0,1004872.0,1.0,1.0,991690.0,-1.0,-1.0,1026148.0,896.1,-4140.0,-4140.0,-4140.0
19,896.23,896.5259874256757,1.0,1.0,997936.0,1.0,0.0,991690.0,-1.0,-1.0,1019290.0,884.67,-6936.0,0.0,-6858.0
20,886.31,886.5510818070794,1.0,1.0,1007770.0,1.0,0.0,991690.0,-1.0,-1.0,1030108.0,902.7,9834.0,0.0,10818.0
21,901.31,900.4171661003813,-1.0,-1.0,1006816.0,-1.0,-1.0,990736.0,-1.0,-1.0,1030228.0,902.9,-954.0,-954.0,120.0
22,904.6,904.8386107722708,1.0,1.0,1004230.0,1.0,1.0,988150.0,-1.0,-1.0,1028662.0,900.29,-2586.0,-2586.0,-1566.0
23,901.21,900.205200252786,-1.0,-1.0,1003156.0,-1.0,-1.0,987076.0,-1.0,-1.0,1030288.0,903.0,-1074.0,-1074.0,1626.0
24,904.6,904.6252181980217,1.0,1.0,998596.0,1.0,1.0,982516.0,-1.0,-1.0,1026688.0,897.0,-4560.0,-4560.0,-3600.0
25,912.0,904.58344763038,-1.0,-1.0,1001278.0,-1.0,-1.0,985198.0,-1.0,-1.0,1033006.0,907.53,2682.0,2682.0,6318.0
26,904.41,906.7978373880529,1.0,1.0,1002856.0,1.0,1.0,986776.0,-1.0,-1.0,1032712.0,907.04,1578.0,1578.0,-294.0
27,908.2,908.6540120556267,1.0,1.0,1003336.0,1.0,0.0,986776.0,-1.0,-1.0,1033888.0,909.0,480.0,0.0,1176.0
28,910.9,911.257854977193,1.0,1.0,1029196.0,1.0,0.0,986776.0,-1.0,-1.0,1060888.0,954.0,25860.0,0.0,27000.0
29,949.44,941.4721678885846,-1.0,-1.0,1044010.0,-1.0,-1.0,1001590.0,-1.0,-1.0,1043338.0,924.75,14814.0,14814.0,-17550.0
30,926.0,925.5698566823078,-1.0,-1.0,1029016.0,-1.0,0.0,1001590.0,-1.0,-1.0,1059082.0,950.99,-14994.0,0.0,15744.0
31,951.15,941.1589072026384,-1.0,-1.0,1032766.0,-1.0,0.0,1001590.0,-1.0,-1.0,1055428.0,944.9,3750.0,0.0,-3654.0
32,946.16,947.590599825961,1.0,1.0,1029568.0,1.0,1.0,998392.0,-1.0,-1.0,1052986.0,940.83,-3198.0,-3198.0,-2442.0
33,944.99,943.0481391180065,-1.0,-1.0,1034182.0,-1.0,-1.0,1003006.0,-1.0,-1.0,1050868.0,937.3,4614.0,4614.0,-2118.0
34,934.5,936.6475195198536,1.0,1.0,1035010.0,1.0,1.0,1003834.0,-1.0,-1.0,1050016.0,935.88,828.0,828.0,-852.0
35,937.88,934.351828759356,-1.0,-1.0,1028278.0,-1.0,-1.0,997102.0,-1.0,-1.0,1057948.0,949.1,-6732.0,-6732.0,7932.0
36,950.5,944.7634714197603,-1.0,-1.0,1027450.0,-1.0,0.0,997102.0,-1.0,-1.0,1059616.0,951.88,-828.0,0.0,1668.0
37,952.42,952.7948804023578,1.0,1.0,1025368.0,1.0,1.0,995020.0,-1.0,-1.0,1057858.0,948.95,-2082.0,-2082.0,-1758.0
38,948.6,949.4025671948497,1.0,1.0,1024594.0,1.0,0.0,995020.0,-1.0,-1.0,1056874.0,947.31,-774.0,0.0,-984.0
39,947.39,945.4981773832357,-1.0,-1.0,1015888.0,-1.0,-1.0,986314.0,-1.0,-1.0,1065628.0,961.9,-8706.0,-8706.0,8754.0
40,965.0,955.1128685272099,-1.0,-1.0,1019788.0,-1.0,0.0,986314.0,-1.0,-1.0,1063588.0,958.5,3900.0,0.0,-2040.0
41,961.48,961.9507275147893,1.0,1.0,1019350.0,1.0,1.0,985876.0,-1.0,-1.0,1064938.0,960.75,-438.0,-438.0,1350.0
42,961.59,961.5994198043944,1.0,1.0,1010596.0,1.0,0.0,985876.0,-1.0,-1.0,1056688.0,947.0,-8754.0,0.0,-8250.0
43,943.5,949.5968120482793,1.0,1.0,1020556.0,1.0,0.0,985876.0,-1.0,-1.0,1064548.0,960.1,9960.0,0.0,7860.0
44,963.0,959.3403265139843,-1.0,-1.0,1023250.0,-1.0,-1.0,988570.0,-1.0,-1.0,1063594.0,958.51,2694.0,2694.0,-954.0
45,961.0,960.7708032221992,-1.0,-1.0,1017850.0,-1.0,0.0,988570.0,-1.0,-1.0,1070488.0,970.0,-5400.0,0.0,6894.0
46,973.97,966.1782977362013,-1.0,-1.0,1019332.0,-1.0,0.0,988570.0,-1.0,-1.0,1071388.0,971.5,1482.0,0.0,900.0
47,973.0,971.7194157223737,-1.0,-1.0,1014892.0,-1.0,0.0,988570.0,-1.0,-1.0,1076728.0,980.4,-4440.0,0.0,5340.0
48,983.43,972.8527920294908,-1.0,-1.0,1007950.0,-1.0,0.0,988570.0,-1.0,-1.0,1085488.0,995.0,-6942.0,0.0,8760.0
49,992.99,993.4424854335615,1.0,1.0,1009606.0,1.0,1.0,990226.0,-1.0,-1.0,1085938.0,995.75,1656.0,1656.0,450.0
